metric,reference,compared_to,ref_mean,cmp_mean,ref_better,t,p,alpha_uncorr,alpha_bonf,sig_uncorrected,sig_bonferroni
atct,DRL-MADRL,Random,12.531368205070336,27.964425895631404,True,-23.617022190369322,1.0019712979461841e-06,0.05,0.0017857142857142859,True,True
energy_kwh,DRL-MADRL,Random,4.5374389035360965,6.136420002524998,True,-6.01916000769333,0.0012459121770875515,0.05,0.0017857142857142859,True,True
sla_pct,DRL-MADRL,Random,97.066,72.21973973973974,True,57.500922488890104,1.3950366352379842e-07,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,Random,1000.0,999.9200000000001,True,2.1380899352969642,0.099300683213998,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,WeightedRR,12.531368205070336,22.02161167062984,True,-25.785407093747104,5.507865552600571e-09,0.05,0.0017857142857142859,True,True
energy_kwh,DRL-MADRL,WeightedRR,4.5374389035360965,5.499271048077878,True,-3.2022409004608963,0.02268698820813605,0.05,0.0017857142857142859,True,False
sla_pct,DRL-MADRL,WeightedRR,97.066,81.49728728728728,True,74.07497184407357,2.066403172699657e-10,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,WeightedRR,1000.0,999.96,True,1.6329931618535956,0.17780780835660953,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,PriorityMinMin,12.531368205070336,12.915068205070332,True,-1.2819135680584526,0.24558851765865328,0.05,0.0017857142857142859,False,False
energy_kwh,DRL-MADRL,PriorityMinMin,4.5374389035360965,4.588223223692346,True,-0.30944492090215264,0.7649873336384104,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,PriorityMinMin,97.066,96.83200000000001,True,1.0332359486769993,0.34202613957924977,0.05,0.0017857142857142859,False,False
tasks_done,DRL-MADRL,PriorityMinMin,1000.0,1000.0,False,,,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,PCH,12.531368205070336,12.091068205070334,False,1.3744726922329622,0.2107158975196986,0.05,0.0017857142857142859,False,False
energy_kwh,DRL-MADRL,PCH,4.5374389035360965,4.512822109399667,False,0.1611128392147456,0.8760011049522944,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,PCH,97.066,97.48,False,-3.5208868206817807,0.011112799734448855,0.05,0.0017857142857142859,True,False
tasks_done,DRL-MADRL,PCH,1000.0,1000.0,False,,,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,PPO,12.531368205070336,13.23771337209189,True,-1.805260281614095,0.10906125857549225,0.05,0.0017857142857142859,False,False
energy_kwh,DRL-MADRL,PPO,4.5374389035360965,4.867520641704674,True,-1.2920609848567963,0.24617906166777043,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,PPO,97.066,96.70395395395396,True,2.0216301605135807,0.08239157201477237,0.05,0.0017857142857142859,False,False
tasks_done,DRL-MADRL,PPO,1000.0,999.9799999999999,True,1.0000000000045475,0.37390096629810626,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,MADDPG,12.531368205070336,19.46003534299918,True,-9.964629092293405,0.00012573997726253344,0.05,0.0017857142857142859,True,True
energy_kwh,DRL-MADRL,MADDPG,4.5374389035360965,5.421654973891923,True,-3.676003207324321,0.010533314611175819,0.05,0.0017857142857142859,True,False
sla_pct,DRL-MADRL,MADDPG,97.066,86.49987987987988,True,8.03408871445569,0.0012386959702477475,0.05,0.0017857142857142859,True,True
tasks_done,DRL-MADRL,MADDPG,1000.0,999.9799999999999,True,1.0000000000045475,0.37390096629810626,0.05,0.0017857142857142859,False,False
atct,DRL-MADRL,MAPPO,12.531368205070336,14.667590779281815,True,-3.6059233201601617,0.011821651059784558,0.05,0.0017857142857142859,True,False
energy_kwh,DRL-MADRL,MAPPO,4.5374389035360965,4.936030260689134,True,-1.6452675942977597,0.15168375655260735,0.05,0.0017857142857142859,False,False
sla_pct,DRL-MADRL,MAPPO,97.066,94.0357137137137,True,3.4771974616300136,0.02432869009672699,0.05,0.0017857142857142859,True,False
tasks_done,DRL-MADRL,MAPPO,1000.0,999.9799999999999,True,1.0000000000045475,0.37390096629810626,0.05,0.0017857142857142859,False,False
