method,seed,episode,atct,energy_kwh,sla_pct,tasks_done
Random,42,0,25.35229705647856,4.105489329544905,76.8,1000
Random,42,1,25.549261022596077,5.206009859802267,75.7,1000
Random,42,2,25.662969762355146,5.755403132978196,72.8,1000
Random,42,3,27.257627269583462,4.627399370410108,73.5,1000
Random,42,4,24.58007083202374,4.66105219945105,72.0,1000
Random,42,5,27.529747013876985,5.238873837998342,73.1,1000
Random,42,6,24.321735981601307,5.378689663356648,74.5,1000
Random,42,7,26.810374757787898,4.298540715279029,71.89999999999999,1000
Random,42,8,30.34116291139459,8.368260744631103,73.8,1000
Random,42,9,24.25927865780972,11.738083027870319,72.37237237237237,999
Random,42,10,25.925687719100686,4.849828233137241,73.5,1000
Random,42,11,26.100726459306273,4.296677147059684,71.6,1000
Random,42,12,25.50803388239853,5.4778160102294855,74.8,1000
Random,42,13,24.97313728438598,4.626048109510368,72.0,1000
Random,42,14,26.6071535636867,5.231908836567974,72.5,1000
Random,42,15,27.804031766298955,5.801200467445464,73.8,1000
Random,42,16,27.032650869849444,4.131546087268729,71.5,1000
Random,42,17,28.851731689320495,10.63401405326024,74.9,1000
Random,42,18,28.321864938276544,4.675565291234913,75.2,1000
Random,42,19,23.57114097775832,4.670792033117781,73.9,1000
Random,42,20,27.810473084548544,4.873849537947576,74.0,1000
Random,42,21,26.04692626860123,4.5778475792819595,73.6,1000
Random,42,22,27.060999657401254,4.740242770809348,72.3,1000
Random,42,23,26.25391749487307,4.4554501260782455,71.8,1000
Random,42,24,25.978733161298106,4.757738056728402,72.1,1000
Random,42,25,29.350053475253933,7.199834281001536,75.0,1000
Random,42,26,27.855754173485888,7.0351015824828185,74.3,1000
Random,42,27,25.430576747711616,4.956767842331514,74.7,1000
Random,42,28,25.27194308149322,4.410353156523198,70.1,1000
Random,42,29,28.450581491659467,9.065576274132145,72.8,1000
Random,43,0,27.50188932942234,4.498191836487771,71.3,1000
Random,43,1,25.980011417468305,4.3990376839078005,73.4,1000
Random,43,2,29.143447551285746,4.3518119203522385,71.39999999999999,1000
Random,43,3,29.028058000528553,4.616492793989441,69.39999999999999,1000
Random,43,4,26.842210942798957,4.319279606063037,74.1,1000
Random,43,5,25.699944854614234,4.1230436618000885,70.3,1000
Random,43,6,29.442006245462814,6.387662112344253,72.89999999999999,1000
Random,43,7,29.297772987655705,8.31376752101099,72.39999999999999,1000
Random,43,8,27.437111823853392,4.526908874458556,72.5,1000
Random,43,9,27.580824657106067,5.946319575987612,72.5,1000
Random,43,10,28.898409400935023,6.3214192547209755,70.3,1000
Random,43,11,27.947567178775135,4.479753725734939,71.7,1000
Random,43,12,26.59661132892355,4.222477952114866,70.3,1000
Random,43,13,30.6358060291141,5.009638585192091,72.39999999999999,1000
Random,43,14,26.210660201661707,4.339343314776511,71.2,1000
Random,43,15,30.318755217727745,7.530098426382679,69.39999999999999,1000
Random,43,16,29.819035721947923,5.243889799617931,69.0,1000
Random,43,17,26.95795393570835,5.765423402961282,72.1,1000
Random,43,18,27.741618756394033,4.622331557326602,71.0,1000
Random,43,19,24.9003470128854,4.25896807686779,72.3,1000
Random,43,20,27.6126552134315,4.8821293936219865,71.3,1000
Random,43,21,32.46113687931295,8.661495513854913,71.8,1000
Random,43,22,28.65190131241567,5.824000960889217,71.6,1000
Random,43,23,27.24792720681431,5.010786463204719,69.89999999999999,1000
Random,43,24,35.2649092468582,11.475979873156579,71.7,1000
Random,43,25,27.640225481337865,4.510188942631257,71.39999999999999,1000
Random,43,26,34.22582456809851,9.170576187156835,72.39999999999999,1000
Random,43,27,27.133234959746545,4.882601569129932,70.6,1000
Random,43,28,30.05865695180772,4.419598534876101,68.4,1000
Random,43,29,28.91528064282071,4.958225033363867,73.7,1000
Random,44,0,35.62109613532684,10.964170226167708,71.5,1000
Random,44,1,28.131901398252566,4.23208502020326,72.5,1000
Random,44,2,30.948394678030027,7.460382132232828,70.5,1000
Random,44,3,27.256154410508916,11.4865426891041,75.07507507507508,999
Random,44,4,32.7432968388674,8.951311730939214,70.89999999999999,1000
Random,44,5,27.35347250236534,5.664886021787715,74.2,1000
Random,44,6,26.073722039467505,11.627589207382115,68.56856856856857,999
Random,44,7,26.40680401626054,4.240046813344289,72.1,1000
Random,44,8,30.880888650309405,5.016532852901997,70.39999999999999,1000
Random,44,9,27.371841774491415,4.494265108061332,73.5,1000
Random,44,10,30.543220890147445,5.391090211119117,71.1,1000
Random,44,11,28.355474553121656,7.200166884481864,70.8,1000
Random,44,12,25.53953422359444,4.317167731627594,73.8,1000
Random,44,13,31.228762808867092,5.356373724159429,71.89999999999999,1000
Random,44,14,29.352921617279467,5.042191205207577,72.0,1000
Random,44,15,32.64918187978788,11.582125344407505,73.57357357357357,999
Random,44,16,30.590694655233282,5.539497935180818,71.5,1000
Random,44,17,29.26115866129458,7.414247405353386,71.6,1000
Random,44,18,34.55481670668639,6.790902842170179,73.3,1000
Random,44,19,26.625188569494345,4.953110977670418,72.8,1000
Random,44,20,25.816922143110478,4.3656256850456625,72.89999999999999,1000
Random,44,21,27.405156709764473,11.423925049258843,69.76976976976978,999
Random,44,22,24.955291631955987,4.269084473284372,72.3,1000
Random,44,23,29.133132668215428,11.60952361687835,72.07207207207207,999
Random,44,24,25.24723555087397,4.350391501011813,73.0,1000
Random,44,25,25.555098974865118,4.590661656490663,72.5,1000
Random,44,26,27.20677163469598,5.1056198979927485,74.0,1000
Random,44,27,28.300051214303785,4.5069837692472765,70.6,1000
Random,44,28,26.554244034130832,5.018802293401334,73.8,1000
Random,44,29,25.783948905120177,4.792000382945393,68.8,1000
Random,45,0,26.940805617984722,4.2812844463742445,71.2,1000
Random,45,1,33.90750752988254,6.419831556483452,72.7,1000
Random,45,2,31.21379885114437,6.463604539586702,72.39999999999999,1000
Random,45,3,26.321539091679167,4.356749896549665,71.7,1000
Random,45,4,27.043028861016392,4.573001414823995,72.7,1000
Random,45,5,25.714020720494347,4.816383921081192,70.3,1000
Random,45,6,28.22394886976457,7.710077426444832,70.7,1000
Random,45,7,30.302034928645853,9.381033727240125,71.8,1000
Random,45,8,29.36136416214855,5.887391566484314,72.5,1000
Random,45,9,25.742082061215793,6.837004288890459,71.39999999999999,1000
Random,45,10,29.14846074565673,5.475727019381201,72.7,1000
Random,45,11,27.521425429070916,4.488278933183141,71.39999999999999,1000
Random,45,12,28.80523867739939,5.617452220332853,69.39999999999999,1000
Random,45,13,32.28550474558282,8.883284729026126,71.1,1000
Random,45,14,26.993169379853942,5.289875697916916,69.5,1000
Random,45,15,25.739021378071822,4.648145103352869,71.89999999999999,1000
Random,45,16,28.575588008826948,4.2969325112501116,71.3,1000
Random,45,17,27.86897793718712,5.187473891242993,73.2,1000
Random,45,18,31.165965179055444,7.567136908580698,70.19999999999999,1000
Random,45,19,29.0979086476136,6.853119569840333,71.89999999999999,1000
Random,45,20,27.079856571106145,4.1738160305279886,71.6,1000
Random,45,21,25.03331004946353,5.45896632127013,68.5,1000
Random,45,22,26.585714961597553,4.639226527759128,69.0,1000
Random,45,23,27.79949812158205,4.814801966960205,74.9,1000
Random,45,24,27.704567413550347,11.728282326327006,70.87087087087087,999
Random,45,25,26.25813067582705,5.278398586467914,74.2,1000
Random,45,26,26.785350242535042,4.368823338461105,73.0,1000
Random,45,27,30.716074786029676,5.930926940498813,70.3,1000
Random,45,28,31.542138562098117,6.158348322241307,70.5,1000
Random,45,29,28.109414945400314,4.876630215104645,71.5,1000
Random,46,0,23.15289575685498,4.101901348188461,71.5,1000
Random,46,1,28.80440498004227,8.225872980313506,74.2,1000
Random,46,2,27.913634087911362,4.983626971758293,72.89999999999999,1000
Random,46,3,29.79180443376533,5.659653018656834,76.5,1000
Random,46,4,27.56999916243264,4.67363178842249,73.1,1000
Random,46,5,27.166994733766494,7.076199263193014,76.0,1000
Random,46,6,26.63752310193768,4.534051943943142,73.6,1000
Random,46,7,26.152159748858846,11.488485068164733,75.17517517517518,999
Random,46,8,32.58120893916448,6.489374581926138,72.39999999999999,1000
Random,46,9,27.819926408394743,4.270242245051415,70.6,1000
Random,46,10,26.952615333127586,4.880305130721848,74.7,1000
Random,46,11,27.90118337113613,7.704107246428579,74.0,1000
Random,46,12,28.245211744581304,5.817202923208175,73.6,1000
Random,46,13,27.779095099973393,5.1305508420043955,72.39999999999999,1000
Random,46,14,24.113999152445256,4.643903395280965,72.7,1000
Random,46,15,23.440422756304688,4.262679246959369,73.8,1000
Random,46,16,33.2971502916942,7.215752613086953,71.5,1000
Random,46,17,27.724491009786377,5.428868685809212,72.3,1000
Random,46,18,28.706138915233517,5.512390569024377,72.1,1000
Random,46,19,25.973767283982053,4.5078338584798185,73.2,1000
Random,46,20,27.261707889194724,4.71897905619233,71.5,1000
Random,46,21,29.44554377356763,6.925959146055809,73.5,1000
Random,46,22,29.74082646087344,8.110334827861141,72.8,1000
Random,46,23,30.73724839294771,7.989615857104411,74.2,1000
Random,46,24,26.33083118253616,5.294372267902133,75.0,1000
Random,46,25,27.97123237949122,5.756574379450503,72.3,1000
Random,46,26,29.21381730494816,11.412300186264327,74.27427427427428,999
Random,46,27,28.88962876307495,6.387319341567705,73.0,1000
Random,46,28,29.45403710395094,8.241805763153124,73.0,1000
Random,46,29,26.882800635788765,4.65455672032158,73.8,1000
WeightedRR,42,0,21.312297056478556,4.661132238265615,83.2,1000
WeightedRR,42,1,20.414261022596076,4.5209713682374835,81.3,1000
WeightedRR,42,2,24.00796976235515,7.285774205807665,81.0,1000
WeightedRR,42,3,21.327627269583463,4.267526618042215,81.10000000000001,1000
WeightedRR,42,4,21.03007083202374,5.393724501613833,80.5,1000
WeightedRR,42,5,22.959747013876985,7.594579571106224,81.69999999999999,1000
WeightedRR,42,6,20.336735981601304,4.881569362497456,82.0,1000
WeightedRR,42,7,22.5753747577879,4.42035680834251,80.30000000000001,1000
WeightedRR,42,8,25.61616291139459,11.319137735069253,83.2,1000
WeightedRR,42,9,22.955370766983652,10.499177662721113,82.1,1000
WeightedRR,42,10,20.480687719100686,4.471723053099341,79.7,1000
WeightedRR,42,11,21.73572645930627,4.774626711029063,80.7,1000
WeightedRR,42,12,22.37803388239853,4.304543840275925,84.6,1000
WeightedRR,42,13,21.69313728438598,4.429252785079613,81.39999999999999,1000
WeightedRR,42,14,22.412153563686697,5.208440357042412,81.8,1000
WeightedRR,42,15,21.084031766298956,4.342150738148334,82.6,1000
WeightedRR,42,16,21.352650869849445,4.230716037756205,83.2,1000
WeightedRR,42,17,21.081731689320492,4.409977229274899,84.0,1000
WeightedRR,42,18,23.661864938276544,5.102477087936696,81.10000000000001,1000
WeightedRR,42,19,19.171140977758316,4.446886128337426,80.10000000000001,1000
WeightedRR,42,20,23.225473084548547,5.321650239420996,82.8,1000
WeightedRR,42,21,21.53192626860123,4.46020565863023,82.3,1000
WeightedRR,42,22,21.815999657401253,4.951996026749078,81.69999999999999,1000
WeightedRR,42,23,21.028917494873067,4.734310381015599,81.2,1000
WeightedRR,42,24,21.203733161298107,4.379018341929467,79.5,1000
WeightedRR,42,25,22.280053475253933,4.544674093280321,82.5,1000
WeightedRR,42,26,22.45075417348589,5.603180190336211,81.39999999999999,1000
WeightedRR,42,27,20.740576747711625,4.6377486976504105,82.3,1000
WeightedRR,42,28,19.541943081493216,4.0982445586872185,80.5,1000
WeightedRR,42,29,22.965581491659467,7.14020007719652,80.4,1000
WeightedRR,43,0,20.10952158083275,11.415472047911996,82.38238238238237,999
WeightedRR,43,1,19.970011417468303,4.26197792676009,81.0,1000
WeightedRR,43,2,21.853447551285747,4.362117301355816,82.39999999999999,1000
WeightedRR,43,3,20.848058000528557,4.414125798608646,81.2,1000
WeightedRR,43,4,21.627210942798957,4.157310528847967,83.0,1000
WeightedRR,43,5,20.17994485461423,4.1023567930234766,80.30000000000001,1000
WeightedRR,43,6,21.57700624546281,5.400237940433726,82.39999999999999,1000
WeightedRR,43,7,23.022772987655706,5.4995711091140995,80.7,1000
WeightedRR,43,8,24.612111823853393,6.50341842917612,82.69999999999999,1000
WeightedRR,43,9,21.255824657106068,4.066244422911574,82.3,1000
WeightedRR,43,10,24.778409400935022,9.071252390616639,82.0,1000
WeightedRR,43,11,21.917567178775133,5.319802302194357,81.5,1000
WeightedRR,43,12,21.161611328923556,4.438975364388762,80.5,1000
WeightedRR,43,13,24.3258060291141,5.2593586376781,84.3,1000
WeightedRR,43,14,20.36566020166171,4.376441385099181,81.39999999999999,1000
WeightedRR,43,15,20.456917846239403,11.542220488375643,80.48048048048048,999
WeightedRR,43,16,22.149035721947925,4.6758220675932005,82.3,1000
WeightedRR,43,17,22.74795393570835,5.886684851047975,80.4,1000
WeightedRR,43,18,22.121618756394035,5.142666515240201,82.5,1000
WeightedRR,43,19,20.5153470128854,4.278852226014662,81.10000000000001,1000
WeightedRR,43,20,20.7276552134315,4.851572676706836,81.0,1000
WeightedRR,43,21,23.27113687931295,4.028598168737957,83.2,1000
WeightedRR,43,22,20.49690131241567,4.468762748946899,81.5,1000
WeightedRR,43,23,20.587927206814307,4.484578527946885,79.3,1000
WeightedRR,43,24,28.039909246858198,8.39310070192454,83.39999999999999,1000
WeightedRR,43,25,20.04522548133787,4.203291630911876,82.19999999999999,1000
WeightedRR,43,26,23.57582456809852,5.6568523028870805,83.0,1000
WeightedRR,43,27,20.383234959746545,4.436452266240333,82.3,1000
WeightedRR,43,28,21.37365695180772,4.183722832864788,81.10000000000001,1000
WeightedRR,43,29,21.650280642820714,4.226492763369106,82.6,1000
WeightedRR,44,0,28.031096135326838,7.320013165247897,80.9,1000
WeightedRR,44,1,21.67190139825256,4.834440797300571,81.6,1000
WeightedRR,44,2,23.443394678030025,6.5445796294080125,81.8,1000
WeightedRR,44,3,21.870769025123533,11.454877648805137,84.18418418418419,999
WeightedRR,44,4,23.3432968388674,4.835502310896917,80.30000000000001,1000
WeightedRR,44,5,19.465955543177724,11.753363336790462,81.48148148148148,999
WeightedRR,44,6,19.687335653081117,11.599383501492419,80.48048048048048,999
WeightedRR,44,7,20.651804016260538,4.297766315523434,82.89999999999999,1000
WeightedRR,44,8,22.7808886503094,4.577979148868333,81.69999999999999,1000
WeightedRR,44,9,21.32684177449141,4.200395051518776,80.60000000000001,1000
WeightedRR,44,10,22.803220890147443,4.736735692078107,81.2,1000
WeightedRR,44,11,21.310474553121658,6.384128906802454,80.80000000000001,1000
WeightedRR,44,12,21.809534223594447,4.302783372489738,81.5,1000
WeightedRR,44,13,24.918762808867097,4.973471617712132,82.3,1000
WeightedRR,44,14,22.637921617279467,4.05109044841224,80.60000000000001,1000
WeightedRR,44,15,24.140673371279377,11.53369619854135,80.68068068068068,999
WeightedRR,44,16,26.47069465523328,8.231744411741019,82.0,1000
WeightedRR,44,17,21.18115866129458,4.405877787164843,80.80000000000001,1000
WeightedRR,44,18,25.60481670668639,4.705742656821788,81.10000000000001,1000
WeightedRR,44,19,22.010188569494346,4.419821285192049,80.4,1000
WeightedRR,44,20,19.63192214311048,4.219167090175533,81.0,1000
WeightedRR,44,21,23.795439993766415,8.03610551465438,79.0,1000
WeightedRR,44,22,21.02029163195599,4.819776015580064,80.4,1000
WeightedRR,44,23,21.320319855402616,11.564621437132395,82.28228228228228,999
WeightedRR,44,24,20.897235550873972,4.338553888132241,82.3,1000
WeightedRR,44,25,20.610098974865117,4.331408571590221,81.8,1000
WeightedRR,44,26,21.911771634695977,4.867982837466525,81.5,1000
WeightedRR,44,27,23.245051214303786,4.634133790759864,79.7,1000
WeightedRR,44,28,20.464244034130832,4.510258653519742,82.19999999999999,1000
WeightedRR,44,29,20.323948905120176,4.818034081717674,79.80000000000001,1000
WeightedRR,45,0,21.910805617984725,5.3185276060415925,80.80000000000001,1000
WeightedRR,45,1,27.73750752988254,10.453117318416066,80.4,1000
WeightedRR,45,2,23.983798851144368,5.533630904448502,83.1,1000
WeightedRR,45,3,20.73153909167917,4.223631929584458,81.39999999999999,1000
WeightedRR,45,4,21.89302886101639,4.6395955462323695,81.89999999999999,1000
WeightedRR,45,5,20.734020720494346,4.465745056315558,82.1,1000
WeightedRR,45,6,22.123948869764565,5.481304220120285,81.5,1000
WeightedRR,45,7,23.77203492864585,10.066133939747248,82.69999999999999,1000
WeightedRR,45,8,23.10136416214855,4.658414945185176,81.6,1000
WeightedRR,45,9,19.637082061215796,4.5568292668338595,80.2,1000
