setting,tau,w,atct_mean,atct_std,sla_mean,sla_std,energy_mean,energy_std
conservative,0.1,0.3,17.556917501112668,0.5362874335264656,90.36967300633967,0.1662277116063707,1.6599101026551955,0.29002838963607575
reported,0.05,0.15,18.704826754616573,0.10144824420815622,88.99635301968635,0.6968694199656918,1.9985959704395508,0.19539572604428865
moderate-A,0.05,0.2,18.524781823663833,0.7116897040895227,88.54936936936936,1.266111776630645,2.1573095091867294,0.6702872015799238
moderate-B,0.1,0.2,18.849844438967594,0.13158217042317583,89.09965632298967,0.19267869385686237,2.34402809316298,0.27139505181026624
aggressive,0.02,0.1,19.077068590883385,0.10045151229729979,89.6462896229563,0.6882926020950759,2.3124038946306342,0.5532450160805592
very-aggressive,0.02,0.05,18.751301633579065,0.5394210477781035,88.66333333333334,0.6957250414735218,1.6005204854428443,0.19431648244484861
