method,seed,atct,energy_kwh,sla_pct,tasks_done
DRL-MADRL,42,12.290995863632633,4.311498347677707,97.0,1000.0
DRL-MADRL,43,12.130675246264397,4.229708960103989,97.31,1000.0
DRL-MADRL,44,12.22202491959072,4.8028858911620045,97.14999999999999,1000.0
DRL-MADRL,45,12.081809182513997,4.552705367382483,97.2,1000.0
DRL-MADRL,46,13.349835813349932,4.7743030530186354,97.2,1000.0
DRL-MADRL-Adaptive,42,14.092995863632632,4.432069006147057,94.05,1000.0
DRL-MADRL-Adaptive,43,13.6056752462644,4.235591261414979,95.39,1000.0
DRL-MADRL-Adaptive,44,13.536024919590721,4.83689107769224,95.03,1000.0
DRL-MADRL-Adaptive,45,13.016309182513996,4.609799096034687,96.1,1000.0
DRL-MADRL-Adaptive,46,14.946335813349936,4.80184056601184,94.82,1000.0
DRL-MADRL-NPS,42,15.391495863632633,4.617258228690231,93.01,1000.0
DRL-MADRL-NPS,43,15.5071752462644,4.32672128541695,92.81,1000.0
DRL-MADRL-NPS,44,15.512024919590718,5.200643803754002,92.75,1000.0
DRL-MADRL-NPS,45,14.011809182513995,4.663577832256731,95.46,1000.0
DRL-MADRL-NPS,46,15.820927048297031,5.293867264486328,93.65931931931932,999.9
PCH,42,11.837995863632633,4.310953797062576,97.39,1000.0
PCH,43,11.983175246264398,4.220901319080934,97.46000000000001,1000.0
PCH,44,11.856524919590719,4.742215118838805,97.51,1000.0
PCH,45,11.959309182513994,4.560386609539401,97.35,1000.0
PCH,46,12.818335813349933,4.729653702476616,97.69,1000.0
