method,seed,episode,atct,energy_kwh,sla_pct,tasks_done
DRL-MADRL,42,0,13.002297056478556,4.044293701576529,95.8,1000
DRL-MADRL,42,1,12.809261022596077,4.441963087069285,96.7,1000
DRL-MADRL,42,2,13.802969762355147,4.254358912254829,94.1,1000
DRL-MADRL,42,3,11.887627269583463,4.206878223268627,97.3,1000
DRL-MADRL,42,4,11.970070832023739,4.21507032996046,96.3,1000
DRL-MADRL,42,5,13.42474701387699,4.227090635144435,96.0,1000
DRL-MADRL,42,6,12.546735981601309,4.532404922016488,96.39999999999999,1000
DRL-MADRL,42,7,13.205374757787897,4.1593308205951045,96.2,1000
DRL-MADRL,42,8,13.66616291139459,5.138895949481506,97.0,1000
DRL-MADRL,42,9,13.075370766983648,7.166985418445801,96.5,1000
DRL-MADRL,42,10,11.985687719100685,4.44293926312929,96.89999999999999,1000
DRL-MADRL,42,11,12.110726459306271,4.105643622507059,96.7,1000
DRL-MADRL,42,12,12.09303388239853,4.255253029726691,97.1,1000
DRL-MADRL,42,13,12.973137284385983,4.237051508549114,94.6,1000
DRL-MADRL,42,14,12.3221535636867,4.520247062825259,97.0,1000
DRL-MADRL,42,15,13.049031766298953,4.269381530877932,96.8,1000
DRL-MADRL,42,16,12.367650869849443,3.992440843702424,97.39999999999999,1000
DRL-MADRL,42,17,12.026731689320494,4.258305255362683,96.89999999999999,1000
DRL-MADRL,42,18,13.351864938276544,4.478381306952669,96.5,1000
DRL-MADRL,42,19,11.526140977758317,4.394887740539515,95.7,1000
DRL-MADRL,42,20,12.535473084548544,4.00339702694182,97.3,1000
DRL-MADRL,42,21,12.52192626860123,4.262576664073936,96.89999999999999,1000
DRL-MADRL,42,22,12.690999657401255,4.325506805465521,96.7,1000
DRL-MADRL,42,23,11.743917494873068,4.17361096750761,97.2,1000
DRL-MADRL,42,24,12.203733161298105,4.010064497919892,97.0,1000
DRL-MADRL,42,25,13.380053475253932,4.515271764134516,97.2,1000
DRL-MADRL,42,26,12.58575417348589,4.384247623940365,98.0,1000
DRL-MADRL,42,27,11.615576747711621,4.370373207747774,96.39999999999999,1000
DRL-MADRL,42,28,11.231943081493219,4.060948880213985,96.8,1000
DRL-MADRL,42,29,12.400581491659468,5.008986038831649,96.5,1000
DRL-MADRL,43,0,12.546889329422342,4.133501009727296,96.1,1000
DRL-MADRL,43,1,12.315011417468304,4.115445111522897,95.6,1000
DRL-MADRL,43,2,13.358447551285746,4.342147908329601,97.1,1000
DRL-MADRL,43,3,11.523058000528554,4.346279703257689,96.2,1000
DRL-MADRL,43,4,11.777210942798952,3.9808168029701974,98.1,1000
DRL-MADRL,43,5,10.964944854614233,3.9374074634395626,97.39999999999999,1000
DRL-MADRL,43,6,12.122006245462813,4.624698408952181,97.1,1000
DRL-MADRL,43,7,12.207772987655703,4.012768799455417,96.89999999999999,1000
DRL-MADRL,43,8,12.257111823853391,4.220276541519828,98.0,1000
DRL-MADRL,43,9,11.775824657106064,4.018310997155799,97.3,1000
DRL-MADRL,43,10,12.863409400935023,6.049808961598629,97.39999999999999,1000
DRL-MADRL,43,11,11.492567178775134,4.064462508531207,97.1,1000
DRL-MADRL,43,12,11.846611328923554,4.112814813726475,96.3,1000
DRL-MADRL,43,13,13.135806029114104,4.096692044314626,97.89999999999999,1000
DRL-MADRL,43,14,11.535660201661708,4.141282290626233,97.1,1000
DRL-MADRL,43,15,12.838755217727742,4.242815222183838,97.7,1000
DRL-MADRL,43,16,12.694035721947925,4.039464401989769,96.5,1000
DRL-MADRL,43,17,12.117953935708348,4.693125121978751,95.89999999999999,1000
DRL-MADRL,43,18,12.161618756394036,4.529501359231384,96.6,1000
DRL-MADRL,43,19,11.025347012885401,4.031836487717115,97.5,1000
DRL-MADRL,43,20,11.7776552134315,4.3911789001733545,97.1,1000
DRL-MADRL,43,21,12.81113687931295,3.978624591207708,98.2,1000
DRL-MADRL,43,22,11.81690131241567,4.310705187465924,96.7,1000
DRL-MADRL,43,23,11.702927206814307,4.4455306875230765,97.1,1000
DRL-MADRL,43,24,13.944909246858199,4.516541961256726,97.0,1000
DRL-MADRL,43,25,11.120225481337865,3.989826760579458,97.7,1000
DRL-MADRL,43,26,12.85582456809852,4.10174326402154,97.1,1000
DRL-MADRL,43,27,11.518234959746543,4.303246640882481,97.6,1000
DRL-MADRL,43,28,12.098656951807719,4.109646043112389,97.39999999999999,1000
DRL-MADRL,43,29,11.660280642820712,4.150045564817227,97.2,1000
DRL-MADRL,44,0,16.016096135326833,5.389824367213507,96.6,1000
DRL-MADRL,44,1,12.286901398252562,4.018979726624301,98.3,1000
DRL-MADRL,44,2,13.073394678030025,4.8437049809340635,96.6,1000
DRL-MADRL,44,3,14.493447000501243,5.839540078494592,97.8,1000
DRL-MADRL,44,4,13.103296838867397,4.318929057044131,96.8,1000
DRL-MADRL,44,5,13.253472502365337,4.816063735681321,96.39999999999999,1000
DRL-MADRL,44,6,11.48913745488292,11.556903769261217,97.7977977977978,999
DRL-MADRL,44,7,11.901804016260542,4.096495795139427,97.7,1000
DRL-MADRL,44,8,13.2708886503094,4.504387535664649,96.3,1000
DRL-MADRL,44,9,12.441841774491415,4.045104353254512,96.3,1000
DRL-MADRL,44,10,12.603220890147444,4.162535229013687,97.8,1000
DRL-MADRL,44,11,12.155474553121657,4.248214563905546,96.6,1000
DRL-MADRL,44,12,12.554534223594445,4.171542079483771,95.8,1000
DRL-MADRL,44,13,13.503762808867098,4.35467158110789,97.1,1000
DRL-MADRL,44,14,13.192921617279463,3.9019510686568175,97.39999999999999,1000
DRL-MADRL,44,15,12.484016714622719,11.487206234057155,97.2972972972973,999
DRL-MADRL,44,16,14.340694655233282,4.923255896060957,97.6,1000
DRL-MADRL,44,17,12.336158661294583,4.131288986328224,95.5,1000
DRL-MADRL,44,18,13.93981670668639,4.148582614182403,97.1,1000
DRL-MADRL,44,19,11.625188569494343,4.3453403950178595,97.39999999999999,1000
DRL-MADRL,44,20,11.731922143110477,4.179282920161004,96.5,1000
DRL-MADRL,44,21,14.900439993766414,8.324280229544616,97.1,1000
DRL-MADRL,44,22,11.275291631955985,4.0473878405761,97.39999999999999,1000
DRL-MADRL,44,23,13.38524511308446,5.3813646097177115,96.89999999999999,1000
DRL-MADRL,44,24,10.98723555087397,4.2236670977560475,97.6,1000
DRL-MADRL,44,25,11.17009897486512,4.203717569777307,98.4,1000
DRL-MADRL,44,26,14.10677163469598,4.751597145276808,95.6,1000
DRL-MADRL,44,27,11.800051214303783,4.0013905724831575,97.6,1000
DRL-MADRL,44,28,11.549244034130833,4.454634272034193,98.0,1000
DRL-MADRL,44,29,11.313948905120176,4.461536654293099,96.39999999999999,1000
DRL-MADRL,45,0,12.980805617984723,4.177225914763593,95.6,1000
DRL-MADRL,45,1,16.26250752988254,6.782160282355906,97.6,1000
DRL-MADRL,45,2,13.933798851144369,4.31031348466373,96.6,1000
DRL-MADRL,45,3,12.286539091679169,4.112671966359162,96.89999999999999,1000
DRL-MADRL,45,4,12.123028861016392,4.229295740674921,98.1,1000
DRL-MADRL,45,5,12.284020720494347,4.3551290338496385,96.2,1000
DRL-MADRL,45,6,12.558948869764565,4.887340909280017,97.89999999999999,1000
DRL-MADRL,45,7,13.06703492864585,6.856509314396748,97.8,1000
DRL-MADRL,45,8,14.196364162148548,4.6231873985965715,97.2,1000
DRL-MADRL,45,9,11.667082061215796,4.340594859519613,96.3,1000
DRL-MADRL,45,10,12.313460745656732,4.492230644740471,97.8,1000
DRL-MADRL,45,11,11.80642542907092,4.165419460291747,98.7,1000
DRL-MADRL,45,12,11.515238677399392,4.138249042947955,96.8,1000
DRL-MADRL,45,13,13.795504745582818,4.451233064012992,97.2,1000
DRL-MADRL,45,14,11.47316937985394,4.117133944758368,97.6,1000
DRL-MADRL,45,15,14.049021378071824,6.222174990619815,97.5,1000
DRL-MADRL,45,16,11.605588008826945,4.039643689267611,98.2,1000
DRL-MADRL,45,17,12.273977937187121,4.199624665044398,96.2,1000
DRL-MADRL,45,18,12.055965179055447,4.117954874706376,97.39999999999999,1000
DRL-MADRL,45,19,11.3679086476136,4.342220743355818,96.89999999999999,1000
DRL-MADRL,45,20,11.754856571106142,3.967157105375079,97.1,1000
DRL-MADRL,45,21,10.76331004946353,4.558036083868663,96.8,1000
DRL-MADRL,45,22,11.055714961597557,4.334906894314484,96.89999999999999,1000
DRL-MADRL,45,23,11.824498121582053,4.316476142931275,97.6,1000
DRL-MADRL,45,24,13.208602909500478,6.538541788680865,96.8,1000
DRL-MADRL,45,25,11.77313067582705,4.6110138130134475,96.89999999999999,1000
DRL-MADRL,45,26,11.645350242535041,4.1569548819865405,98.0,1000
DRL-MADRL,45,27,14.041074786029675,4.774515012955732,97.1,1000
DRL-MADRL,45,28,12.917138562098113,4.137941146645028,97.1,1000
DRL-MADRL,45,29,11.834414945400315,4.131510804053719,97.7,1000
DRL-MADRL,46,0,12.38789575685498,4.214685009266777,96.3,1000
DRL-MADRL,46,1,14.044404980042271,5.538267510523878,97.1,1000
DRL-MADRL,46,2,14.133634087911362,4.024072801831971,96.8,1000
DRL-MADRL,46,3,13.84180443376533,4.266682221303949,96.8,1000
DRL-MADRL,46,4,13.18999916243264,4.303101000133784,97.3,1000
DRL-MADRL,46,5,13.081994733766496,4.828131467214034,97.0,1000
DRL-MADRL,46,6,11.70252310193768,4.13426282344358,97.1,1000
DRL-MADRL,46,7,12.543551140250239,11.446077134080449,97.5975975975976,999
DRL-MADRL,46,8,13.746208939164482,4.827012701018693,97.3,1000
DRL-MADRL,46,9,13.05492640839474,4.254629220003886,95.89999999999999,1000
DRL-MADRL,46,10,12.852615333127586,4.110446583716724,96.39999999999999,1000
DRL-MADRL,46,11,12.89618337113613,4.104248632770963,96.7,1000
DRL-MADRL,46,12,12.680211744581307,4.2635746748299175,95.8,1000
DRL-MADRL,46,13,13.704095099973395,4.379364033465243,96.3,1000
DRL-MADRL,46,14,11.863999152445258,4.426267600897479,95.6,1000
DRL-MADRL,46,15,11.345422756304687,4.032864794729435,97.2,1000
DRL-MADRL,46,16,14.952150291694206,4.452237745679052,95.5,1000
DRL-MADRL,46,17,12.639491009786378,4.043393212854753,97.39999999999999,1000
DRL-MADRL,46,18,13.281138915233516,4.4568488960046855,97.7,1000
DRL-MADRL,46,19,13.003767283982056,4.297151081162597,96.39999999999999,1000
DRL-MADRL,46,20,12.946707889194723,4.1874134286761295,96.8,1000
DRL-MADRL,46,21,13.72554377356763,4.453870325662166,96.5,1000
DRL-MADRL,46,22,13.710826460873438,5.810027173929467,96.3,1000
DRL-MADRL,46,23,13.382248392947712,4.601975108035727,97.5,1000
DRL-MADRL,46,24,12.37083118253616,4.353259996340174,97.39999999999999,1000
DRL-MADRL,46,25,12.736232379491218,3.9741674885274865,97.7,1000
DRL-MADRL,46,26,16.184501552073797,7.692246480247663,97.5,1000
DRL-MADRL,46,27,12.72462876307495,3.979823218097703,97.8,1000
DRL-MADRL,46,28,13.62903710395094,4.426586759188462,97.39999999999999,1000
DRL-MADRL,46,29,12.087800635788769,4.26366055148138,97.1,1000
DRL-MADRL-Adaptive,42,0,14.137297056478554,4.029983937381059,93.4,1000
DRL-MADRL-Adaptive,42,1,14.784261022596079,4.455118710561297,91.5,1000
DRL-MADRL-Adaptive,42,2,15.082969762355148,4.270963406466842,90.10000000000001,1000
DRL-MADRL-Adaptive,42,3,14.387627269583463,4.526583136965684,93.89999999999999,1000
DRL-MADRL-Adaptive,42,4,15.37507083202374,4.298116026013782,90.4,1000
DRL-MADRL-Adaptive,42,5,15.469747013876988,4.344419705206338,92.2,1000
DRL-MADRL-Adaptive,42,6,14.121735981601306,4.537489743777287,91.3,1000
DRL-MADRL-Adaptive,42,7,14.420374757787897,4.212249015446973,93.4,1000
DRL-MADRL-Adaptive,42,8,14.71116291139459,5.072710607792999,94.69999999999999,1000
DRL-MADRL-Adaptive,42,9,14.225370766983648,7.599914309839807,94.6,1000
DRL-MADRL-Adaptive,42,10,13.000687719100686,4.458826386363516,95.3,1000
DRL-MADRL-Adaptive,42,11,13.82072645930627,4.1074843252665065,93.30000000000001,1000
DRL-MADRL-Adaptive,42,12,14.613033882398529,4.280923757074463,92.30000000000001,1000
