method,seed,atct,energy_kwh,sla_pct,tasks_done
Random,42,22.43451239659081,2.1537725139035175,79.83000000000001,1000.0
Random,43,22.94392157359847,2.276303827711042,79.78808808808809,999.9
Random,44,22.68687562298977,2.675483872280396,79.88000000000001,1000.0
Random,45,22.706322125413358,3.1593457529684374,78.99774774774774,999.9
Random,46,22.740590343374585,2.420525660830499,80.78799799799799,999.9
WeightedRR,42,21.17475865451474,2.785093589830803,81.0860860860861,999.8
WeightedRR,43,22.521516881156607,2.5678817645188157,81.85999999999999,1000.0
WeightedRR,44,21.391228230595583,2.5267977783499695,81.24807807807807,999.9
WeightedRR,45,21.76780544257939,3.313878405406445,81.44608608608607,999.8
WeightedRR,46,22.75698924227348,3.2268201081876766,81.5580980980981,999.9
PriorityMinMin,42,19.743512396590813,1.5042690361061906,85.52000000000001,1000.0
PriorityMinMin,43,20.42901688115661,1.4981216722539898,86.08000000000001,1000.0
PriorityMinMin,44,19.879523676283675,2.8986029423748283,85.11713713713712,999.8
PriorityMinMin,45,20.600037217900052,2.4477644523609112,84.85842842842843,999.9
PriorityMinMin,46,20.92156378879673,2.381030152743139,85.58721442885772,999.8
PCH,42,19.990012396590814,2.252273724670882,88.16,1000.0
PCH,43,20.30751688115661,2.3119538785921607,88.28,1000.0
PCH,44,19.11595062716109,2.9495398186978083,87.65733733733734,999.8
PCH,45,20.60538272956285,2.6570708520636392,87.09,1000.0
PCH,46,20.524659697254172,2.9686292423072267,86.93721721721721,999.8
PPO,42,19.147012396590817,1.7522579557075786,87.84,1000.0
PPO,43,18.906652804829697,2.2259954492271445,87.72880880880881,999.9
PPO,44,17.380375622989774,2.051231844627229,88.81,1000.0
PPO,45,20.213882729562854,2.1115917807838662,85.45,1000.0
PPO,46,20.087736273830753,2.9398890986270643,89.51800800800802,999.8
MADDPG,42,20.603512396590812,2.5033428504834916,85.21000000000001,1000.0
MADDPG,43,20.602833632872922,2.798428695432201,85.12886886886886,999.9
MADDPG,44,19.123084086451442,2.319550554789867,86.0083083083083,999.9
MADDPG,45,20.53088272956285,2.5442378694284686,85.14999999999999,1000.0
MADDPG,46,21.067520895333736,2.666528538098406,85.02,1000.0
MAPPO,42,19.83001239659081,1.6379508823360467,84.83000000000001,1000.0
MAPPO,43,20.691016881156607,2.22159651643276,85.64,1000.0
MAPPO,44,19.462646322856788,2.565562945380571,83.89636636636637,999.8
MAPPO,45,20.030508812100045,2.8666805732315663,85.19853853853854,999.9
MAPPO,46,21.177379926032376,3.075355928075978,85.28853853853852,999.9
DRL-MADRL,42,18.78189734017741,2.3905970860343966,91.56913913913914,999.9
DRL-MADRL,43,19.57301688115661,1.6301317685037684,90.6,1000.0
DRL-MADRL,44,18.64838438675174,2.804859417599567,90.77895895895895,999.9
DRL-MADRL,45,19.05325493561777,2.9179370403171907,90.58904904904907,999.9
DRL-MADRL,46,19.72608745093933,3.1657660869715913,89.47744744744745,999.8
