method,seed,episode,atct,energy_kwh,sla_pct,tasks_done
DRL-MADRL,42,0,20.21952297056479,1.0148603744204931,86.1,1000
DRL-MADRL,42,1,19.224992610225957,0.9272788524912663,85.9,1000
DRL-MADRL,42,2,17.884879697623546,0.8572211113914203,85.2,1000
DRL-MADRL,42,3,20.497076272695832,0.9963333958110768,83.5,1000
DRL-MADRL,42,4,20.443950708320234,1.395648421112304,84.6,1000
DRL-MADRL,42,5,20.23724747013878,0.9767924270649707,84.7,1000
DRL-MADRL,42,6,19.582417359816016,0.9754315695930286,87.4,1000
DRL-MADRL,42,7,22.379153747577874,2.7320235742853582,84.39999999999999,1000
DRL-MADRL,42,8,21.85146162911393,2.502968698501345,87.5,1000
DRL-MADRL,42,9,20.318853707669824,3.4616614004651285,89.2,1000
DRL-MADRL,42,10,21.367456877191007,1.058560102302415,87.8,1000
DRL-MADRL,42,11,19.756957264593066,1.1107732778767978,87.7,1000
DRL-MADRL,42,12,20.809530338823972,1.436293447252813,86.9,1000
DRL-MADRL,42,13,20.125431372843856,0.7724149110282508,86.3,1000
DRL-MADRL,42,14,20.860371535636865,3.286852781830075,90.9,1000
DRL-MADRL,42,15,21.26239031766299,1.6718436612050258,88.1,1000
DRL-MADRL,42,16,20.514426508698495,3.279332290420664,89.60000000000001,1000
DRL-MADRL,42,17,20.522567316893202,0.8566746441876092,89.60000000000001,1000
DRL-MADRL,42,18,23.740218649382776,2.595073074182934,89.2,1000
DRL-MADRL,42,19,18.314211409777585,0.78532317841669,87.5,1000
DRL-MADRL,42,20,21.074454730845478,1.2702647095638315,89.9,1000
DRL-MADRL,42,21,21.083169262686027,2.1189205856132354,89.60000000000001,1000
DRL-MADRL,42,22,20.884359996574027,1.6973482170554037,88.2,1000
DRL-MADRL,42,23,19.554189174948718,0.6371050005327443,88.7,1000
DRL-MADRL,42,24,22.190087331612975,1.3285314547924645,84.6,1000
DRL-MADRL,42,25,20.552346064854653,7.4948234691778355,89.4894894894895,999
DRL-MADRL,42,26,21.64380754173486,3.039040695335058,89.9,1000
DRL-MADRL,42,27,19.539655767477104,0.780107057890543,90.9,1000
DRL-MADRL,42,28,19.749419430814932,0.9048872713293733,89.7,1000
DRL-MADRL,42,29,21.585855814916602,4.28105270872146,90.0,1000
DRL-MADRL,43,0,21.349218893294232,3.0966414407021086,85.1,1000
DRL-MADRL,43,1,19.921000114174685,0.787535153559608,83.89999999999999,1000
DRL-MADRL,43,2,24.60628447551286,4.8705958202212605,82.39999999999999,1000
DRL-MADRL,43,3,22.11658058000528,2.199032930756083,86.0,1000
DRL-MADRL,43,4,21.439072109427986,1.63248111808782,86.8,1000
