method,seed,atct,energy_kwh,sla_pct,tasks_done
DRL-MADRL,42,20.785734511646538,2.3552081170011947,89.09894894894896,999.9
DRL-MADRL,43,21.729458277973993,2.6427399984241102,88.54882882882883,999.9
DRL-MADRL,44,20.241477335422054,2.552011798689772,87.69746746746746,999.8
DRL-MADRL,45,21.48291939648629,3.745244900610422,87.65714714714714,999.8
DRL-MADRL,46,22.180568832418064,3.0557836106596445,87.51890890890891,999.9
DRL-MADRL-Adaptive,42,20.176304958636326,1.987189609469651,89.61,1000.0
DRL-MADRL-Adaptive,43,20.83840675246264,1.5972689249797556,89.61,1000.0
DRL-MADRL-Adaptive,44,20.19193773868468,2.9550755575817678,89.63898898898898,999.9
DRL-MADRL-Adaptive,45,21.45665309182514,2.5162337757579007,87.51,1000.0
DRL-MADRL-Adaptive,46,21.533343144356838,2.4144112543170873,87.76856856856857,999.9
DRL-MADRL-NPS,42,20.956304958636327,1.6695586377520981,88.97999999999999,1000.0
DRL-MADRL-NPS,43,21.113906752462643,1.8180066009458475,89.48000000000002,1000.0
DRL-MADRL-NPS,44,20.133500801747743,2.4326213869067637,88.03881881881883,999.9
DRL-MADRL-NPS,45,21.147280902217393,2.41403835556194,87.83872872872874,999.9
DRL-MADRL-NPS,46,21.70038568689938,2.5254060653407633,87.82867867867868,999.9
PCH,42,21.649304958636325,1.8569900997344806,86.35,1000.0
PCH,43,22.349847308118065,2.508438766710518,86.22865865865866,999.9
PCH,44,21.185195496442436,2.594507907001773,85.92852852852852,999.9
PCH,45,21.762441403024514,3.803857502108182,85.6552952952953,999.7
PCH,46,22.716078379592076,2.8273928043350165,85.76836836836837,999.9
